,Frequency
zastupitelstva,948
energetice,946
naklady,946
temelin,942
zelenych,937
jednani,932
nekolik,928
totiz,927
jadra,926
rok,926
rosatom,920
rika,919
meli,917
energiewende,909
bezpecnost,907
sily,906
snizeni,902
jezdi,900
vlady,899
evropy,894
ruskem,890
stavby,889
smlouvy,888
nejvetsi,886
dukovanech,879
tyto,873
financovani,873
typu,871
velice,871
tato,868
nedavno,867
kazdy,864
tech,863
stavi,860
provoz,858
podobne,857
rakety,851
americke,846
rusove,839
dvou,839
nemecke,837
rozlozeni,831
jiste,824
tyden,824
model,818
reaktory,814
gesci,801
investora,800
vver,797
vyssi,796
politickych,794
projekt,794
problemu,793
vondracek,793
nikdy,789
pripadne,789
vystudoval,788
nektere,787
uzemi,785
svete,784
cast,783
komisi,783
stane,783
vystudovala,778
evropske,778
minuly,777
republiky,774
silne,774
mezinarodni,771
energetiku,770
jineho,758
stavbu,757
prumyslu,757
systemu,756
uhelne,755
valku,755
mnohem,751
novicok,747
dostavba,745
vladimir,743
zbrani,742
rovnez,738
bezpecnosti,737
treti,737
ctyrmi,736
par,733
rozdil,731
vztahy,731
ruskych,730
strane,727
listopadu,725
ruskou,721
celkove,721
politice,721
vyroby,719
site,717
konec,716
publikovano,712
prodlouzeni,712
skutecne,707
americky,705
uplne,703
uvedla,703
dokazal,702
moskve,698
scenare,697
prodlouzit,692
valka,691
vetrnych,689
regionu,688
obdobi,687
zastupci,687
postup,686
cesta,684
diky,684
vuci,682
penize,679
sveta,678
zpusobem,677
kralove,675
tvrdi,675
pozici,674
dostavbu,673
vse,669
jadro,665
probiha,664
pusobil,655
boji,649
predevsim,649
vyzval,649
hlediska,648
rustu,647
najevo,647
pusobi,645
ministerstvo,643
namestkem,643
zmeny,641
kremlu,641
radni,637
fakulte,635
poslednich,631
doletu,631
ucastnici,628
dosahnout,628
videt,626
emisnich,626
aktualne,626
alespon,622
svet,620
planu,619
idnescz,618
prezidentske,618
cunek,617
dost,616
podminky,616
postupne,615
prohlasil,613
snobr,613
temer,611
stredniho,610
predstaviteli,610
investice,608
temeline,608
zasedne,606
nejlepsi,602
zkusenosti,601
no,600
rade,597
hlavni,597
takova,596
alternativa,593
vzhledem,592
tehdy,592
trump,587
nutne,585
obnovitelne,585
duvodu,585
vsetinsku,583
ziskala,582
americane,582
organizaci,580
jiny,579
takove,578
extremistum,578
populistum,578
mesta,578
polokomunisticka,578
vladnimu,578
svym,577
americkych,575
hlavniho,575
km,573
reseni,573
nan,569
velka,568
nemuze,566
pise,565
autor,561
pirati,560
komuniste,560
zmena,558
zcela,558
nebudou,556
nemela,556
celou,554
financni,552
generace,551
jednotlivych,548
ministr,548
konce,545
letosni,545
aktivistu,544
stejneho,544
obchodu,542
efektivni,542
babisem,542
penez,541
cely,540
odstaveni,538
provozovatele,538
plyn,537
deti,536
obrany,535
obou,535
neuspel,531
firem,529
paks,528
zarizeni,528
nezavisle,528
dalsim,527
zisky,526
nekolika,525
mensich,524
fotografie,524
podpora,522
jednim,521
oznamila,521
petici,521
radioaktivni,521
postavit,519
prav,519
snazi,517
fyzik,515
sen,515
belgii,514
produkce,513
zemich,513
intenzivni,512
vetsina,511
premysl,511
rabas,511
zoologicke,510
obhajovali,510
vicha,510
spojenych,509
cas,508
one,508
bychom,506
novou,504
takovy,504
prilis,504
politolog,503
levici,502
lekar,502
narodni,501
moznost,501
emise,500
vcetne,500
politika,500
zmenila,500
babisova,499
doby,499
radnim,499
hamacka,499
nahradit,499
pripoji,498
litomeric,498
stavet,497
zaviset,496
dvore,495
pracoval,495
povedou,495
zacal,495
zacatku,495
podpory,492
jenze,492
elektrinu,492
rijna,492
student,490
kratce,489
plzenskeho,488
nejdelsi,487
odvetou,487
vladislav,486
marku,485
podlehl,485
sazkari,485
hualong,484
dopady,484
zahrady,484
hilserovi,484
venoval,483
pardubickeho,483
cervickovi,482
tlak,482
republika,482
radnici,481
chomutovsku,481
vyjednava,481
opavsku,481
statniho,481
ostravamesto,480
ruskeho,480
benesovsku,480
frakci,480
vilimec,480
kortys,480
spolustraniky,480
sjednotili,480
zlinsku,480
bohuminsky,480
kandidujicimu,480
kdyne,480
sokolovsky,480
neprovazely,480
nejaky,480
mohli,479
ktereho,479
pohledu,474
trhu,473
realizovat,473
ekonomicky,471
sam,471
nepraktikujici,469
energii,469
situaci,468
rozhodnout,467
produkci,467
presto,463
zajimave,463
myslim,460
premiera,458
pocet,457
boj,457
forum,456
setkani,454
uctu,452
utok,451
kratkeho,449
dlouho,449
stavbe,449
britanii,448
nemz,448
zverejnila,445
venuje,445
likvidaci,444
zajmu,444
firma,444
marta,442
ukrajine,441
zacina,441
putina,440
zajima,440
zmen,439
vcas,439
republiku,438
zacit,437
zakazku,436
rizik,436
prechod,436
stalo,435
vedl,435
postoje,434
evropa,434
cim,432
cina,431
kterem,428
rusu,428
modernizace,427
nazory,427
miliardy,425
realne,424
iii,423
vlivem,422
slova,422
rozvoje,421
koncepci,421
ziskem,420
vystavba,420
informace,420
mw,420
syrii,420
smlouvu,419
doslo,419
mohlo,419
dotace,419
muzete,419
khnp,418
utoku,418
ostatni,418
okolo,418
spolecny,417
primo,416
dodala,415
rozhodla,414
fyziky,412
krymu,412
subjektu,412
jednu,411
nuclear,411
predsedkyne,411
energetickych,411
technologie,408
zaklade,408
nemci,408
sumperk,407
mysli,407
vyrobe,406
budovani,406
moskvy,406
chot,405
uder,404
dcerou,403
prakticky,403
greenpeace,402
strely,401
reakci,401
obvykle,400
dosud,398
andreje,398
premierem,398
verejne,397
plynovych,397
dojit,397
vykonu,396
zejmena,396
pocita,396
mnoho,395
nasledne,395
zivot,394
scenari,394
ruzne,393
chtel,393
hodnot,393
pripadech,393
milose,392
nelze,392
lidem,390
odlozit,390
mala,390
lepsi,389
licence,389
pujde,389
technologii,388
nakonec,388
politickymi,388
prezidentem,387
staveb,387
osn,387
cvut,386
for,385
oproti,385
dolaru,384
nakladu,384
zvyseni,384
vi,384
budouci,384
vykon,383
kterym,383
moderni,383
zavedeni,382
dramaticke,382
general,382
zniceni,382
zapad,382
plne,381
latky,381
stavajicich,381
oblast,380
stoji,380
zni,379
prazskeho,378
dle,378
kterych,377
ii,376
pojisteni,374
sanci,374
medialni,373
akce,372
snizit,372
napr,371
stranami,370
evropska,370
westinghouse,369
delat,369
decentralizovane,369
nizkoemisni,369
nedarilo,368
rustem,368
jedineho,368
bloomberg,367
velky,365
nevim,365
valce,364
smysl,364
armady,364
potreby,364
spotrebitele,364
zajmy,363
zdroji,363
jake,363
popsan,363
novinkycz,361
ukrajinske,360
nova,360
slunce,358
chova,358
kreml,358
dumy,358
celeho,356
hinkley,356
strel,356
rici,356
temelina,355
plest,355
spolecne,355
afghanistanu,355
mohly,354
pripomenout,354
naseho,354
ustavu,353
muzeme,353
ramci,353
vidi,353
agentura,353
moci,353
zelene,352
rodinne,351
kulturu,351
hrde,350
jejiz,350
prece,350
moskva,349
cviceni,349
dovolit,349
obe,348
casu,348
neuspechem,347
nasledujicich,347
point,347
zavislosti,347
atd,347
vedla,347
cesti,347
vitez,347
nemeckem,346
nem,346
dohody,346
horsi,345
jadernym,345
aktiviste,345
postoupili,344
podporil,344
musel,344
pravda,344
univerzite,343
boje,343
dochazi,342
mluvit,341
nejvyssimi,341
zrejme,340
ziskalo,340
prvniho,340
jedine,340
neocekaval,340
ruznych,339
vysi,339
americka,338
udelat,338
nejdrive,337
volebniho,337
tlakem,337
akcii,336
richarda,336
vyznamne,336
mist,335
jehoz,335
oze,335
nerealna,335
loni,335
pocitala,334
budoucnu,334
nicmene,334
zivotni,334
tolik,333
dokaze,333
zemanovi,333
spusteni,333
ukrajiny,333
partaj,332
existuji,332
mnozstvi,331
vazne,331
globalni,331
power,331
podilel,331
vyboru,330
vysoka,330
rizeni,330
sujb,330
mestske,329
politicky,329
prohlaseni,329
vyzadovalo,328
agenturou,328
brabce,327
pracovala,327
vivien,327
instagramovem,327
tzv,326
propojeni,326
ukazalo,326
duvod,325
hodnotu,324
rezimu,324
fakt,324
podil,324
ruchu,323
muset,323
zari,323
absolvoval,323
eurmwh,322
smeru,321
clanek,321
univerzitach,321
asistent,321
despektem,321
letu,320
mandatu,320
adam,320
vybrat,320
armada,320
odstoupeni,319
dodavatele,319
zakona,319
zakonu,319
znacne,318
studie,318
severu,318
politologii,317
the,317
nekdy,317
prosla,317
nebylo,316
dodavatelu,316
zamerenych,316
desetileti,316
rust,315
jadernymi,315
riziko,315
karlovy,315
finsku,314
britanie,314
bezpecne,314
zpravy,313
trestikova,313
povede,312
sssr,312
naprosto,312
zaziva,312
pravni,312
pripomenme,312
stavba,309
fyzikalne,309
media,308
prijit,308
vojenske,308
inzenyrskou,306
dalsiho,306
maximalni,305
pracuje,305
projekty,305
svetove,305
nejde,304
televizni,304
pane,304
obvineni,304
pouziti,303
tyka,303
svobodne,303
vojaku,302
ceskoslovenska,302
paliva,302
pracovat,302
okoli,301
srovnani,300
zahajeni,300
jedina,299
koalice,299
vetrne,299
hnedeho,299
rozhodne,298
michala,298
alternativou,298
vedomi,298
cil,297
budoucnost,297
pristim,297
principu,296
francie,296
radek,296
snobra,294
rakouska,294
zasadili,294
sance,293
elektrarnu,293
reply,293
popisuje,292
zamereni,292
favorizuji,292
hampla,292
